Date,Client,Product,Quantity,Revenue
2026-02-20,Client F,Product 4,34.0,1087
2026-02-13,Client I,Product 3,41.0,1279
2026-02-04,Client H,Product 2,30.0,1731
2026-02-01,Client A,Product 1,36.0,4931
2026-02-20,Client B,Product 3,20.0,973
2026-02-04,Client D,Product 4,11.0,2642
2026-03-27,Client C,Product 4,27.0,3860
2026-02-24,Client A,Product 5,14.0,581
2026-01-27,Client D,Product 1,49.0,675
2026-01-01,Client H,Product 4,26.0,3826
2026-03-28,Client A,Product 5,20.0,3705
2026-03-01,Client C,Product 5,35.0,4531
2026-01-06,Client E,Product 1,21.0,3455
2026-01-12,Client F,Product 2,14.0,2194
2026-03-01,Client G,Product 2,23.0,1790
2026-01-26,Client J,Product 4,47.0,2370
2026-01-13,Client J,Product 1,,4831
2026-01-02,Client G,Product 5,38.0,1696
2026-03-02,Client D,Product 4,26.0,3177
2026-03-10,Client A,Product 4,12.0,3595
2026-01-25,Client B,Product 1,43.0,948
2026-01-20,Client B,Product 2,14.0,1890
2026-02-21,Client E,Product 2,6.0,731
2026-03-28,Client E,Product 3,30.0,126
2026-03-27,Client D,Product 2,4.0,2916
2026-03-14,Client B,Product 1,45.0,3236
2026-01-17,Client G,Product 5,42.0,3521
2026-01-27,Client E,Product 2,19.0,101
2026-02-09,Client H,Product 1,49.0,998
2026-01-04,Client F,Product 1,38.0,2161
2026-03-06,Client F,Product 2,40.0,4996
2026-02-24,Client A,Product 5,6.0,364
2026-03-13,Client A,Product 1,38.0,1872
2026-02-24,Client G,Product 1,36.0,4218
2026-02-16,Client F,Product 2,35.0,2944
2026-03-22,Client I,Product 3,29.0,4237
2026-02-12,Client E,Product 1,27.0,2807
2026-02-27,Client F,Product 3,23.0,3844
2026-01-03,Client J,Product 5,47.0,1024
2026-02-20,Client F,Product 3,8.0,2539
2026-03-16,Client H,Product 3,4.0,1572
2026-01-12,Client G,Product 1,34.0,651
2026-03-22,Client B,Product 3,48.0,4399
2026-03-20,Client D,Product 3,18.0,3813
2026-02-10,Client J,Product 2,10.0,3541
2026-03-06,Client D,Product 3,3.0,1486
2026-02-25,Client E,Product 4,9.0,1410
2026-03-26,Client B,Product 3,5.0,2447
2026-02-04,Client J,Product 1,10.0,2997
2026-03-21,Client A,Product 4,19.0,3604
2026-01-21,Client I,Product 3,43.0,2291
2026-02-14,Client E,Product 3,14.0,1230
2026-03-25,Client G,Product 2,16.0,1535
2026-03-10,Client C,Product 2,16.0,4491
2026-03-02,Client C,Product 5,44.0,490
2026-02-28,Client J,Product 2,27.0,386
2026-02-15,Client J,Product 3,34.0,4173
2026-03-06,Client G,Product 2,,2445
2026-01-22,Client D,Product 5,39.0,175
2026-02-25,Client D,Product 3,29.0,2648
2026-01-06,Client J,Product 1,16.0,3995
2026-01-26,Client G,Product 5,36.0,4490
2026-01-21,Client F,Product 5,39.0,1955
2026-03-17,Client G,Product 4,6.0,2209
2026-01-07,Client I,Product 4,14.0,4769
2026-02-26,Client E,Product 3,15.0,577
2026-02-12,Client C,Product 1,46.0,2385
2026-03-05,Client C,Product 2,10.0,2392
2026-01-18,Client I,Product 2,25.0,3269
2026-01-28,Client D,Product 1,4.0,1964
2026-03-21,Client J,Product 5,25.0,4500
2026-01-14,Client H,Product 4,23.0,1476
2026-03-24,Client C,Product 4,,4144
2026-01-16,Client D,Product 4,6.0,368
2026-03-23,Client G,Product 4,42.0,3671
2026-02-03,Client E,Product 4,27.0,622
2026-03-28,Client E,Product 1,23.0,3417
2026-02-23,Client H,Product 3,35.0,3333
2026-01-02,Client E,Product 4,33.0,2618
2026-02-13,Client H,Product 3,20.0,4998
2026-03-25,Client H,Product 4,14.0,1734
2026-02-15,Client E,Product 3,14.0,644
2026-03-03,Client B,Product 1,9.0,2806
2026-03-18,Client D,Product 4,31.0,3825
